"gene_name","gene_id","0","20","40","60","80","100","120","140","160","180"
"l(1)G0004","FBgn0027334","-0.9951670","-0.7162007","-1.224095620","-0.86732585","-0.284958488"," 0.278581771"," 0.431325228"," 0.95847172"," 0.48310234"," 1.93626662"
"GABA-B-R2","FBgn0027575","-1.5401061","-0.6315892","-0.970824343","-0.56985029","-0.508189020"," 0.266816369"," 0.480422990"," 1.06816953"," 1.63171741"," 0.77343261"
"CG5033","FBgn0028744","-1.1976822","-1.1865347","-1.041239597","-0.50435254","-0.173003484"," 0.558395528"," 0.085413265"," 1.05294913"," 0.71988200"," 1.68617263"
"NHP2","FBgn0029148","-1.2003466","-0.6629910","-1.492020593","-0.38237401","-0.265501646","-0.046952325"," 0.660245576"," 1.20228714"," 0.64647501"," 1.54117854"
"CG15766","FBgn0029813","-0.7824990","-0.8757105","-1.265959415","-0.55774441","-0.289489957","-0.189227241","-0.065869125"," 1.01012334"," 1.59044521"," 1.42593102"
"CG1785","FBgn0030061","-1.0532688","-1.4771354","-0.923965973","-0.42590301","-0.055255743"," 0.174387553"," 0.255691053"," 0.65106088"," 1.23085619"," 1.62353321"
"CG2691","FBgn0030504","-1.0544337","-1.4043976","-0.265818225","-0.83389726","-0.016279816"," 0.093101503"," 0.017633613"," 0.54767308"," 0.91605848"," 2.00035998"
"CG9281","FBgn0030672","-1.5042567","-1.2598406","-0.767863709","-0.54757752"," 0.068846813"," 0.134996020"," 0.609830103"," 0.83860487"," 0.88450607"," 1.54275465"
"CG8939","FBgn0030720","-1.0912012","-0.9761885","-1.437244735","-0.48488401","-0.002966602"," 0.113449427"," 0.569812859"," 0.77196249"," 0.81962353"," 1.71763674"
"Aatf","FBgn0031851","-1.3320720","-0.6690680","-1.338670542","-0.21226029"," 0.010052067"," 0.178833660"," 0.502487943","-0.06035791"," 1.02101771"," 1.90003738"
"CG13096","FBgn0032050","-0.9988307","-0.9248148","-1.226888327","-0.70415015","-0.177064643"," 0.265748194"," 0.139744147"," 0.83858256"," 0.92709973"," 1.86057396"
"CG13097","FBgn0032051","-0.6281254","-1.0140697","-1.399659663","-0.69701903","-0.213923007"," 0.066695245"," 0.028848939"," 1.07559272"," 1.22427749"," 1.55738237"
"Csl4","FBgn0032346","-0.7330093","-0.8537074","-1.445674797","-0.73407129","-0.198488177"," 0.556740586"," 0.237578136"," 0.59659864"," 0.56921138"," 2.00482224"
"CG6565","FBgn0032513","-1.3098426","-0.7859398","-1.471354223","-0.18585995","-0.058284357","-0.094892217"," 0.555408083"," 0.88048784"," 0.83519468"," 1.63508257"
"CG12050","FBgn0032915","-1.0971164","-1.1497327","-1.180694201","-0.46389845","-0.058602398"," 0.123941826"," 0.394189213"," 0.68353990"," 0.90141596"," 1.84695728"
"CG9253","FBgn0032919","-1.2303072","-0.8363314","-1.278925529","-0.66859320","-0.371361186"," 0.537821305"," 0.347695487"," 1.01616112"," 1.10253204"," 1.38130855"
"Mys45A","FBgn0033379","-0.9426592","-0.8064645","-1.573037075","-0.48172629","-0.158933443"," 0.288606198"," 0.145661196"," 0.64498567"," 1.28171317"," 1.60185427"
"CG12909","FBgn0033507","-0.9765059","-0.7901343","-1.445091306","-0.54615059","-0.328271776","-0.068664239"," 0.461978054"," 1.07893441"," 1.05268603"," 1.56121957"
"CG12325","FBgn0033557","-1.1045145","-0.9555134","-1.235992905","-0.62572359","-0.304126703"," 0.398143267"," 0.468550958"," 0.58092954"," 1.01464120"," 1.76360609"
"CG8545","FBgn0033741","-0.9761759","-0.9098752","-1.390451977","-0.86318861","-0.155139908"," 0.370399440"," 0.542945303"," 0.71965563"," 1.22108411"," 1.44074709"
"CG9143","FBgn0034496","-1.1643135","-0.6850452","-1.461849068","-0.45551154","-0.128246636","-0.112978295"," 0.467755800"," 1.16536657"," 0.73762297"," 1.63719886"
"CG11180","FBgn0034528","-0.9595075","-0.9990792","-1.445577805","-0.69980925","-0.127189289"," 0.501735810"," 0.453459432"," 0.58275663"," 1.17065411"," 1.52255710"
"CG4554","FBgn0034734","-1.3398936","-1.0323801","-1.087473449","-0.52823696","-0.034328717"," 0.259322101"," 0.323652413"," 0.61527901"," 1.14950081"," 1.67455847"
"Gk2","FBgn0035266","-1.5317865","-0.9175775","-1.271867235","-0.26939057","-0.059112529"," 0.321348568"," 0.622198669"," 0.74131240"," 0.80712841"," 1.55774628"
"CG11583","FBgn0035524","-0.8798980","-0.8853380","-1.317323647","-0.70637005","-0.461224563"," 0.271362790"," 0.429221742"," 0.71259032"," 1.09829629"," 1.73868313"
"CG15019","FBgn0035541","-0.3795371","-0.9120453","-1.189225999","-0.87462121","-0.669962732","-0.273358044"," 0.471202077"," 1.02074579"," 1.16018754"," 1.64661501"
"CG10576","FBgn0035630","-1.0416664","-1.1391550","-1.054034190","-0.73889122","-0.349566436"," 0.335955955"," 0.364054781"," 1.02195425"," 1.01360873"," 1.58773948"
"CG8368","FBgn0035707","-1.6477736","-0.5650390","-1.012105751"," 0.02355960","-0.643926071"," 0.392519465"," 0.187555892"," 0.69809856"," 0.75705765"," 1.81005322"
"CG18178","FBgn0036035","-1.0743641","-0.9549617","-1.497403309","-0.13748648","-0.361823599"," 0.512846899"," 0.270353132"," 0.86772492"," 0.62536441"," 1.74974984"
"CG5114","FBgn0036460","-1.1505831","-1.0642144","-1.297607380","-0.25565336"," 0.094260075"," 0.054381392"," 0.102149785"," 0.74605796"," 0.95213980"," 1.81906928"
"CG12301","FBgn0036514","-0.9253740","-1.1254500","-1.383589571","-0.36978825","-0.290422508"," 0.283561757"," 0.579709350"," 0.48728801"," 0.97030521"," 1.77376001"
"CG7728","FBgn0036686","-1.0950289","-1.0635800","-1.408867904","-0.57374740"," 0.026399773"," 0.105753820"," 0.744293701"," 0.88656347"," 0.89261364"," 1.48559977"
"CG5589","FBgn0036754","-0.8078664","-0.7146814","-1.393833455","-0.57581006","-0.344380606"," 0.180609721"," 0.041312124"," 0.93366244"," 0.65356007"," 2.02742757"
"CG3808","FBgn0036838","-1.4918285","-1.0707688","-1.411804696","-0.24634079"," 0.356053834"," 0.425147445"," 0.443705700"," 1.06573718"," 0.77638317"," 1.15371551"
"eRF1","FBgn0036974","-0.5429336","-0.9242224","-0.590376502","-0.83741077","-0.589069186"," 0.156875378"," 0.485065577","-0.27817611"," 0.76987719"," 2.35037041"
"CG10565","FBgn0037051","-0.7391420","-1.2411266","-1.141190512","-0.80774594","-0.352047368"," 0.490689829"," 0.216981114"," 0.93745593"," 1.00717107"," 1.62895449"
"CG12975","FBgn0037061","-0.9826841","-0.4641464","-1.694825085","-0.16410374","-0.053658147","-0.534089064"," 0.221540081"," 0.98241114"," 1.33170047"," 1.35785487"
"Tsr1","FBgn0037073","-0.8401883","-0.8043634","-1.269191331","-0.59357649","-0.542696009","-0.094233873"," 0.359003372"," 0.96447376"," 0.99624038"," 1.82453188"
"Nopp140","FBgn0037137","-0.7066663","-1.0928412","-1.485250626","-0.77655009","-0.131504682"," 0.312639194"," 0.505572025"," 0.88972138"," 0.89047262"," 1.59440769"
"srl","FBgn0037248","-1.4432554","-1.4108347","-0.748621324","-0.41623532","-0.087615492"," 0.458419953"," 0.435788758"," 0.84297542"," 0.81893465"," 1.55044345"
"CG10286","FBgn0037439","-0.8193244","-0.8754976","-1.751390363","-0.45079432","-0.291660191"," 0.244986619"," 0.663026586"," 0.96898000"," 0.93663416"," 1.37503950"
"Dmtn","FBgn0037443","-1.8194987","-0.9224663","-0.646632096","-0.60547328"," 0.241943591"," 0.078134785"," 0.943433705"," 0.49379522"," 1.53888857"," 0.69787450"
"CG1234","FBgn0037489","-1.0152563","-0.9579491","-1.638488702","-0.33016556","-0.052713439"," 0.461146575"," 0.276898483"," 0.59333385"," 1.14791310"," 1.51528103"
"SpdS","FBgn0037723","-1.0382089","-0.6433255","-1.711530688","-0.33923639","-0.497017884"," 0.806041696"," 0.464446359"," 0.81984316"," 0.62699136"," 1.51199685"
"Droj2","FBgn0038145","-1.2015776","-1.3863279","-0.162039297","-0.86749029","-0.774028389"," 0.421037834"," 0.876838712"," 0.99175610"," 1.29365447"," 0.80817639"
"CG9799","FBgn0038146","-1.2633571","-1.1856374","-1.184788049","-0.55373146"," 0.125707558"," 0.415500323"," 0.418397757"," 0.68525618"," 0.93798245"," 1.60466972"
"Non3","FBgn0038585","-0.8970487","-1.2791087","-1.377570787","-0.29882611","-0.335455648"," 0.361619552"," 0.523539560"," 1.09883673"," 0.64456204"," 1.55945212"
"CG18600","FBgn0038601","-1.4272004","-0.8247350","-1.364816581","-0.28794569","-0.034819239"," 0.187967620"," 0.288162331"," 1.30079844"," 0.77533558"," 1.38725291"
"CG6231","FBgn0038720","-0.9915911","-0.9035942","-1.413482618","-0.31451801","-0.168750641","-0.313998290"," 0.606630471"," 0.67061364"," 1.13339200"," 1.69529871"
"Surf6","FBgn0038746","-0.8478633","-0.7829771","-1.298669271","-0.72929793","-0.190215044","-0.284077650"," 0.293242168"," 0.88414812"," 1.25767754"," 1.69803238"
"Nop56","FBgn0038964","-1.1059888","-0.8550690","-1.178008905","-0.59952180","-0.190990177"," 0.063650932"," 0.289607281"," 0.90870136"," 0.70520835"," 1.96241083"
"CG12499","FBgn0038968","-1.1415661","-0.9842438","-1.342343837","-0.56025771","-0.050833222"," 0.183013640"," 0.448965229"," 0.80395737"," 0.97903175"," 1.66427669"
"CG5728","FBgn0039182","-1.2090934","-1.0509889","-1.108557001","-0.67856583","-0.167038177"," 0.166233276"," 0.521608931"," 0.89866202"," 1.03417804"," 1.59356098"
"CG7006","FBgn0039233","-0.6505527","-0.9969538","-1.394829540","-0.01471708","-0.616051692","-0.399974820"," 0.446290228"," 0.93684287"," 0.89617316"," 1.79377336"
"CG11089","FBgn0039241","-1.2278620","-1.2398634","-0.702967380","-0.42467907","-0.300352779"," 0.179165907"," 0.315234719"," 0.91273358"," 0.49287352"," 1.99571693"
"RIOK2","FBgn0039306","-1.2678011","-0.6402373","-1.579688078","-0.17830730","-0.451629848"," 0.475227731"," 0.359856285"," 0.64656839"," 1.27366058"," 1.36235064"
"CG1542","FBgn0039828","-0.8951242","-0.7685390","-1.221787504","-0.39306623","-0.378640683","-0.086282158"," 0.199514642"," 0.83285558"," 0.51839156"," 2.19267803"
"CG1607","FBgn0039844","-0.5925649","-0.9061624","-1.583509849","-0.28455592","-0.060502495","-0.203759054"," 0.216484140"," 0.79546404"," 0.57314464"," 2.04596177"
"CG11076","FBgn0039929","-1.0877416","-0.8726395","-1.409677277","-0.21775543","-0.173250994","-0.331225568"," 0.651348324"," 0.63384550"," 1.16367866"," 1.64341782"
"bor","FBgn0040237","-1.5937615","-0.6365964","-0.941512324","-0.75265333"," 0.301710512"," 0.119746412","-0.110463672"," 0.94931603"," 1.20182541"," 1.46238881"
"Pcyt1","FBgn0041342","-1.9578456","-1.2128564","-0.697124503"," 0.39022975"," 0.769323142"," 0.708933149"," 1.284919350"," 0.37562144"," 0.40773981","-0.06894010"
"CG13773","FBgn0042092","-0.9043830","-0.7178904","-1.589599307","-0.57271317","-0.175057612"," 0.014796822"," 0.263564475"," 1.06994441"," 1.02527191"," 1.58606578"
"Gclm","FBgn0046114","-1.2575896","-1.0858900","-1.491190726","-0.19252435"," 0.323286799","-0.173349044"," 0.786839762"," 1.08051275"," 0.86793167"," 1.14197272"
"CG30349","FBgn0050349","-1.0080089","-0.6838058","-1.326858608","-0.84528281","-0.383484879"," 0.194118670"," 0.425286101"," 1.02948474"," 0.95316416"," 1.64538727"
"CG32344","FBgn0052344","-0.7581734","-0.7006429","-1.588559607","-0.41270421","-0.373671639"," 0.006895274"," 0.315988686"," 0.52335306"," 1.13017848"," 1.85733617"
"CG32409","FBgn0052409","-1.0046064","-0.8336162","-1.328013739","-0.69429393","-0.233700445"," 0.225834052"," 0.239708880"," 0.85972147"," 0.98799864"," 1.78096767"
"CG32732","FBgn0052732","-0.9172792","-1.1171638","-0.648487231","-0.41826554","-0.518586382","-0.315031292"," 0.174153077"," 0.62267613"," 1.01882932"," 2.11915492"
"U3-55K","FBgn0053505","-1.3253361","-0.9051341","-1.366186770","-0.47208994","-0.044786046"," 0.278379920"," 0.349791271"," 1.28285176"," 0.92548166"," 1.27702831"
"Uhg2","FBgn0063449","-1.2836225","-0.7430483","-1.150979210","-0.21988289","-0.379169042","-0.212043302"," 0.549262643"," 0.55920966"," 0.95230028"," 1.92797267"
"mbm","FBgn0086912","-1.4192255","-1.0745000","-1.452450585"," 0.06211793","-0.056800400"," 0.530822947"," 0.386882580"," 0.70832278"," 0.93140679"," 1.38342341"
"kra","FBgn0250753","-0.7378916","-1.4475359","-0.552094296","-0.91190155","-0.631226435"," 0.354170565"," 0.484937856"," 1.06077923"," 0.68765430"," 1.69310780"
"Nop60B","FBgn0259937","-0.9381345","-1.0939210","-1.090432501","-0.77847390","-0.188212280","-0.025805678"," 0.390781986"," 1.00730693"," 1.01642204"," 1.70046890"
"Mat89Ba","FBgn0261286","-1.3333087","-1.0570605","-1.513293096"," 0.09090975","-0.112725225"," 0.262129478"," 0.556906809"," 0.98311529"," 0.75001138"," 1.37331483"
"GLS","FBgn0261625","-1.3011508","-1.3862058","-0.923267927","-0.43234979"," 0.031745133"," 0.225098982"," 0.397758341"," 0.83699549"," 0.97495703"," 1.57641941"
"kdn","FBgn0261955","-1.4931658","-0.9821488","-0.632949444","-1.12642634","-0.072435431"," 0.390103009"," 0.684074024"," 1.00271807"," 1.01871542"," 1.21151527"
"bel","FBgn0263231","-1.3456948","-1.3588932","-0.757364513","-0.32457982","-0.123952391"," 0.230742209"," 0.223804341"," 0.83217300"," 0.85895679"," 1.76480836"
"nclb","FBgn0263510","-0.9525430","-0.9317234","-1.475346137","-0.44776891","-0.341206269"," 0.207576623"," 0.352016469"," 1.00365888"," 0.96504498"," 1.62029069"
"pit","FBgn0266581","-1.2886815","-0.7955983","-1.461095574","-0.30709330"," 0.162011493","-0.026996639"," 0.383520186"," 0.71329421"," 0.88576826"," 1.73487125"
"CR45214","FBgn0266741","-1.2563068","-1.4493422","-0.525527739","-0.70257829","-0.090109681"," 0.562480641"," 0.185757236"," 0.82895784"," 0.71735556"," 1.72931339"
