"A_gene_name"	"B_gene_name"	"from"	"to"	"neighborhood"	"neighborhood_transferred"	"fusion"	"cooccurence"	"homology"	"coexpression"	"coexpression_transferred"	"experiments"	"experiments_transferred"	"database"	"database_transferred"	"textmining"	"textmining_transferred"	"combined_score"	"pval_PPI_enrich"	"pubmed_ids"
"N"	"dx"	"7227.FBpp0070483"	"7227.FBpp0070876"	0	0	0	0	0	0	0	999	182	900	333	970	115	999	0	"PMID:9590294, PMID:9428413, PMID:9378752, PMID:9334275, PMID:9286678, PMID:9271437, PMID:8979376, PMID:8955070, PMID:8853908, PMID:8807304, PMID:8725234, PMID:8698232, PMID:8681785, PMID:8674407, PMID:8601489, PMID:8404527, PMID:8287794, PMID:8150285, PMID:7954795, PMID:7720588, PMID:7698650, PMID:7671825, PMID:7546844, PMID:24860831, PMID:24855951, PMID:24718108, PMID:24657926, PMID:24528630, PMID:24386421, PMID:24324398, PMID:24312012, 
    PMID:24282610, PMID:24277854, PMID:24244188, PMID:24062983, PMID:2338245, PMID:23354061, PMID:23226392, PMID:23202132, PMID:23085543, PMID:23060962, PMID:22778262, PMID:22750761, PMID:22736244, PMID:22720165, PMID:22558447, PMID:22163301, PMID:22162134, PMID:22125648, PMID:22111016, PMID:21904119, PMID:21750738, PMID:21666993, PMID:21632926, PMID:21299753, PMID:2123462, PMID:21200027, PMID:21193420, PMID:21124883, PMID:21124823, PMID:20966964, 
    PMID:20813900, PMID:20610485, PMID:20530696, PMID:20495361, PMID:20479883, PMID:20460366, PMID:20335360, PMID:20231316, PMID:20208568, PMID:20156974, PMID:20154218, PMID:20030805, PMID:19995916, PMID:19936191, PMID:19779553, PMID:19583839, PMID:19564409, PMID:19508709, PMID:19471605, PMID:19189643, PMID:19139277, PMID:19000840, PMID:18852286, PMID:18818392, PMID:18799787, PMID:18702731, PMID:18688026, PMID:18635581, PMID:18625637, PMID:18552861, 
    PMID:18483362, PMID:18445833, PMID:18430783, PMID:18359760, PMID:18335037, PMID:18245850, PMID:18213387, PMID:18202376, PMID:18194540, PMID:18192283, PMID:18158565, PMID:18059366, PMID:18048645, PMID:17938237, PMID:17766653, PMID:17709564, PMID:17698590, PMID:17626841, PMID:17557115, PMID:17556669, PMID:17535912, PMID:17463329, PMID:17456774, PMID:17404512, PMID:17332745, PMID:17312394, PMID:17247883, PMID:17246989, PMID:17224916, PMID:17183697, 
    PMID:17028573, PMID:16973960, PMID:16923970, PMID:16908627, PMID:16818743, PMID:16782866, PMID:16542414, PMID:16395579, PMID:16291593, PMID:16271883, PMID:16239965, PMID:16236769, PMID:16179393, PMID:16103211, PMID:1592246, PMID:15901829, PMID:15851675, PMID:15728456, PMID:15684394, PMID:15684388, PMID:15650868, PMID:15620650, PMID:15620649, PMID:15531953, PMID:15496440, PMID:15494433, PMID:15452147, PMID:15277242, PMID:15226394, PMID:15187023, 
    PMID:15123884, PMID:14623820, PMID:14592976, PMID:14525960, PMID:12913000, PMID:12897132, PMID:12842995, PMID:12670957, PMID:12648496, PMID:12370315, PMID:12070099, PMID:11884509, PMID:11861487, PMID:11825871, PMID:11810238, PMID:11719214, PMID:11581320, PMID:11564735, PMID:11359897, PMID:11207282, PMID:11119607, PMID:10910909, PMID:10862754, PMID:10804214, PMID:10804188, PMID:10804183, PMID:10791981, PMID:10783395, PMID:10704384, PMID:10520600, 
    PMID:10353900, PMID:10336019, PMID:10205173"
"N"	"Ube3a"	"7227.FBpp0070483"	"7227.FBpp0075916"	0	0	0	0	0	0	0	0	0	0	0	230	0	229	0	"PMID:9169836, PMID:9165118, PMID:8149916, PMID:24945623, PMID:24675973, PMID:24238429, PMID:23316392, PMID:23217079, PMID:21311210, PMID:20071532, PMID:19641013, PMID:19164936, PMID:19127293, PMID:18820302, PMID:18707228, PMID:18690062, PMID:18434418, PMID:18245854, PMID:17615389, PMID:17595343, PMID:17360774, PMID:16489063, PMID:15075257, PMID:12070099, PMID:12050143, PMID:10976055, PMID:10908582, PMID:10594046"
"N"	"aph-1"	"7227.FBpp0070483"	"7227.FBpp0077400"	0	0	0	0	0	0	0	0	0	900	333	650	88	975	0	"PMID:24959528, PMID:24704358, PMID:24391587, PMID:24244188, PMID:24108142, PMID:23609534, PMID:23504135, PMID:23238734, PMID:21979940, PMID:21775282, PMID:21768095, PMID:21685396, PMID:21533193, PMID:21445342, PMID:21310068, PMID:20570903, PMID:20530696, PMID:20299451, PMID:19519249, PMID:19494151, PMID:19415127, PMID:19276086, PMID:19114997, PMID:19067488, PMID:18834536, PMID:18697993, PMID:18599481, PMID:18550769, PMID:18474109, PMID:18050403, 
    PMID:17988153, PMID:17965014, PMID:17928364, PMID:17890228, PMID:17878232, PMID:17329245, PMID:17259169, PMID:17245125, PMID:17148788, PMID:16384915, PMID:16291593, PMID:16234244, PMID:16103123, PMID:15644323, PMID:15592359, PMID:15299016, PMID:15220354, PMID:15215237, PMID:15123653, PMID:15105831, PMID:15102905, PMID:14673177, PMID:12777371, PMID:12771124, PMID:12660785, PMID:12522139, PMID:12297508, PMID:12147673, PMID:10804188"
"N"	"ebi"	"7227.FBpp0070483"	"7227.FBpp0077715"	0	0	0	0	0	0	0	662	0	0	0	221	0	725	0	"PMID:8987797, PMID:24618901, PMID:24552149, PMID:23129980, PMID:22792190, PMID:22041576, PMID:21049000, PMID:19939918, PMID:18929655, PMID:18797187, PMID:18430928, PMID:17500585, PMID:17322397, PMID:16763555, PMID:16751179, PMID:15940829, PMID:15930109, PMID:15805470, PMID:15520277, PMID:15128669, PMID:11865025, PMID:10215623"
"dx"	"ebi"	"7227.FBpp0070876"	"7227.FBpp0077715"	0	0	0	0	0	196	0	0	0	0	0	0	0	196	0	"NA"
"N"	"smo"	"7227.FBpp0070483"	"7227.FBpp0077788"	0	0	0	0	0	0	0	0	0	0	0	635	64	643	0	"PMID:9989974, PMID:9835652, PMID:9811582, PMID:9654017, PMID:9551858, PMID:9409685, PMID:9407023, PMID:9383063, PMID:9310318, PMID:8598300, PMID:24977024, PMID:24964731, PMID:24961797, PMID:24931005, PMID:24823879, PMID:24810906, PMID:24757005, PMID:24722523, PMID:24688313, PMID:24648766, PMID:24591669, PMID:24550888, PMID:24527387, PMID:24498290, PMID:24409421, PMID:24391661, PMID:24391522, PMID:24339791, PMID:24331293, PMID:24303070, 
    PMID:24281103, PMID:24260374, PMID:24212791, PMID:24212632, PMID:24073265, PMID:24069566, PMID:24068890, PMID:24043949, PMID:23819944, PMID:23667323, PMID:23305182, PMID:23292285, PMID:23275879, PMID:23209942, PMID:23190771, PMID:23149744, PMID:23085394, PMID:23032367, PMID:22871611, PMID:22871018, PMID:22827778, PMID:22768056, PMID:22619564, PMID:22593732, PMID:22550422, PMID:22432040, PMID:22413093, PMID:22402963, PMID:22371696, PMID:22298652, 
    PMID:22295244, PMID:22132234, PMID:22095083, PMID:21978399, PMID:21949350, PMID:21931660, PMID:21789180, PMID:21789137, PMID:21775419, PMID:21754989, PMID:21733352, PMID:21710433, PMID:21692687, PMID:21674124, PMID:21666993, PMID:21607288, PMID:21533246, PMID:21498615, PMID:21412342, PMID:21212394, PMID:21203400, PMID:21188169, PMID:21169257, PMID:21098717, PMID:20971825, PMID:20930191, PMID:20928937, PMID:20730380, PMID:20621955, PMID:20530699, 
    PMID:20460306, PMID:20452961, PMID:20389077, PMID:20385725, PMID:20372085, PMID:20339091, PMID:20336604, PMID:20233856, PMID:20214806, PMID:20160502, PMID:20081367, PMID:20067614, PMID:20051365, PMID:20023380, PMID:19966297, PMID:19955368, PMID:19938982, PMID:19934349, PMID:19933147, PMID:19923894, PMID:19901543, PMID:19875489, PMID:19822761, PMID:19794886, PMID:19788370, PMID:19787036, PMID:19737745, PMID:19531586, PMID:19509466, PMID:19502692, 
    PMID:19474148, PMID:19390062, PMID:19382889, PMID:19286613, PMID:19285468, PMID:19237605, PMID:19223557, PMID:19189643, PMID:19165344, PMID:19148215, PMID:19132102, PMID:19124651, PMID:19095649, PMID:18832395, PMID:18832354, PMID:18829843, PMID:18794343, PMID:18758436, PMID:18724071, PMID:18699730, PMID:18635951, PMID:18524848, PMID:18489752, PMID:18434417, PMID:18421251, PMID:18356248, PMID:18347086, PMID:18296651, PMID:18198278, PMID:18080019, 
    PMID:17982507, PMID:17928586, PMID:17923695, PMID:17699589, PMID:17641201, PMID:17615393, PMID:17609501, PMID:17571073, PMID:17568183, PMID:17440084, PMID:17428827, PMID:17335573, PMID:17312394, PMID:17309866, PMID:17257418, PMID:17114586, PMID:17102592, PMID:17062662, PMID:17043310, PMID:16951180, PMID:16943241, PMID:16877675, PMID:16809475, PMID:16672338, PMID:16540506, PMID:16522205, PMID:16489008, PMID:16484682, PMID:16239319, PMID:16207753, 
    PMID:16155214, PMID:16105882, PMID:16049109, PMID:15987436, PMID:15916718, PMID:15901665, PMID:15857917, PMID:15788705, PMID:15601817, PMID:15534205, PMID:15496446, PMID:15380030, PMID:15123884, PMID:14660435, PMID:14608370, PMID:14602684, PMID:14597665, PMID:12954721, PMID:12917295, PMID:12835386, PMID:12588889, PMID:12490561, PMID:12441288, PMID:12424225, PMID:12421709, PMID:12403709, PMID:12393558, PMID:12163413, PMID:12050111, PMID:12015301, 
    PMID:11978185, PMID:11934850, PMID:11880345, PMID:11880339, PMID:11861468, PMID:11603502, PMID:11527959, PMID:11390862, PMID:11290291, PMID:11222148, PMID:11171398, PMID:11171395, PMID:11171343, PMID:11092806, PMID:11027307, PMID:10952895, PMID:10952893, PMID:10862736, PMID:10769240, PMID:10634582, PMID:10572059, PMID:10572054, PMID:10557210, PMID:10529412, PMID:10457019, PMID:10357933, PMID:10330024, PMID:10226002, PMID:10225994, PMID:10207028, 
    PMID:10101132"
"dx"	"smo"	"7227.FBpp0070876"	"7227.FBpp0077788"	0	0	0	0	0	257	0	0	0	0	0	58	0	270	0	"PMID:21666993, PMID:19189643, PMID:17312394, PMID:16969081, PMID:15123884"
"N"	"fng"	"7227.FBpp0070483"	"7227.FBpp0077925"	0	0	0	0	0	0	0	999	84	900	0	988	105	999	0	"PMID:9927598, PMID:9927593, PMID:9886207, PMID:9843490, PMID:9834035, PMID:9806914, PMID:9806911, PMID:9804358, PMID:9778511, PMID:9744867, PMID:9742402, PMID:9724756, PMID:9694625, PMID:9690473, PMID:9690472, PMID:9671583, PMID:9655817, PMID:9653148, PMID:9637676, PMID:9620845, PMID:9600262, PMID:9596653, PMID:9553038, PMID:9547240, PMID:9425353, PMID:9409672, PMID:9315901, PMID:9310338, PMID:9310337, PMID:9310319, PMID:9247339, 
    PMID:9207795, PMID:9202123, PMID:9187150, PMID:9171377, PMID:9136934, PMID:9119226, PMID:9043068, PMID:9006064, PMID:8951063, PMID:8674417, PMID:8600026, PMID:8565848, PMID:7600982, PMID:24822081, PMID:24781918, PMID:24709423, PMID:24704358, PMID:24675973, PMID:24574849, PMID:24551251, PMID:24533113, PMID:24239355, PMID:24205350, PMID:24155745, PMID:24086746, PMID:24069565, PMID:24043949, PMID:23895933, PMID:23720232, PMID:23300480, 
    PMID:23231322, PMID:23217079, PMID:23197537, PMID:23197536, PMID:23152840, PMID:23129980, PMID:23085543, PMID:23072667, PMID:23071776, PMID:23060962, PMID:23037857, PMID:23028706, PMID:22988249, PMID:22967798, PMID:22952997, PMID:22872643, PMID:22824137, PMID:22720165, PMID:22593732, PMID:22587874, PMID:22510469, PMID:22509166, PMID:22469079, PMID:22455336, PMID:22399337, PMID:22162134, PMID:22117070, PMID:22111016, PMID:22081605, PMID:22049409, 
    PMID:22028443, PMID:22006338, PMID:21989947, PMID:21978399, PMID:219680, PMID:21949350, PMID:21899759, PMID:21867417, PMID:21775282, PMID:21757702, PMID:21750738, PMID:21695234, PMID:21636775, PMID:21629779, PMID:21483667, PMID:21483663, PMID:21464368, PMID:21437251, PMID:21372153, PMID:21262834, PMID:21203496, PMID:21177962, PMID:21098717, PMID:21060795, PMID:20980602, PMID:20978236, PMID:20971825, PMID:20837470, PMID:20810995, PMID:20730086, 
    PMID:20530696, PMID:20529320, PMID:20452960, PMID:20353597, PMID:20346184, PMID:20331358, PMID:20231316, PMID:20186322, PMID:20182624, PMID:20170518, PMID:20140218, PMID:20081190, PMID:20066114, PMID:20066085, PMID:20046098, PMID:20016694, PMID:19995916, PMID:19948890, PMID:19948734, PMID:19936191, PMID:19906847, PMID:19897741, PMID:19846665, PMID:19825158, PMID:19779553, PMID:19737745, PMID:19704010, PMID:19625773, PMID:19598111, PMID:19486506, 
    PMID:19471605, PMID:19468305, PMID:19455420, PMID:19284292, PMID:19255248, PMID:19247939, PMID:19203238, PMID:19171888, PMID:19161597, PMID:19144989, PMID:19139277, PMID:19104065, PMID:19028689, PMID:18948267, PMID:18852286, PMID:18824561, PMID:18820480, PMID:18818300, PMID:18809725, PMID:18801836, PMID:18799787, PMID:18725413, PMID:18701548, PMID:18690061, PMID:18688026, PMID:18606882, PMID:18606881, PMID:18550713, PMID:18516297, PMID:18516287, 
    PMID:18466624, PMID:18461085, PMID:18451803, PMID:18445292, PMID:18434418, PMID:18433293, PMID:18421076, PMID:18381350, PMID:18369162, PMID:18359890, PMID:18347015, PMID:18342499, PMID:18335037, PMID:18312702, PMID:18272537, PMID:18252777, PMID:18245854, PMID:18245850, PMID:18237417, PMID:18227520, PMID:18213387, PMID:18208612, PMID:18202376, PMID:18194540, PMID:18158565, PMID:18073442, PMID:18050430, PMID:18048645, PMID:17967059, PMID:17938237, 
    PMID:17923477, PMID:17891711, PMID:17878270, PMID:17761886, PMID:17699589, PMID:17572911, PMID:17556669, PMID:17522109, PMID:17456774, PMID:17420294, PMID:17409286, PMID:17395588, PMID:17376817, PMID:17360774, PMID:17332535, PMID:17329366, PMID:17307762, PMID:17215308, PMID:17215299, PMID:17148788, PMID:17079689, PMID:17079268, PMID:17032646, PMID:16993369, PMID:16973960, PMID:16973733, PMID:16914494, PMID:16899492, PMID:16818743, PMID:16782866, 
    PMID:16775001, PMID:16672346, PMID:16643882, PMID:16542414, PMID:16489059, PMID:16464858, PMID:16464857, PMID:16440003, PMID:16410732, PMID:16344554, PMID:16344471, PMID:16291593, PMID:16227600, PMID:16174741, PMID:16144902, PMID:16141223, PMID:16125166, PMID:16093323, PMID:16049109, PMID:16014514, PMID:15994325, PMID:15994302, PMID:15987734, PMID:15987436, PMID:15940829, PMID:15906253, PMID:15897231, PMID:15857853, PMID:15765546, PMID:15760463, 
    PMID:15760269, PMID:15659488, PMID:15659486, PMID:15653671, PMID:15634704, PMID:15611100, PMID:15592446, PMID:15591414, PMID:15576412, PMID:15574878, PMID:15563714, PMID:15539491, PMID:15537687, PMID:15531953, PMID:15469974, PMID:15452147, PMID:15448335, PMID:15342554, PMID:15280477, PMID:15253935, PMID:15231576, PMID:15084464, PMID:15082721, PMID:15064243, PMID:14998929, PMID:14973298, PMID:14973271, PMID:14769803, PMID:14757640, PMID:14757636, 
    PMID:14730010, PMID:14701680, PMID:14681193, PMID:14627724, PMID:14627723, PMID:14623824, PMID:14612445, PMID:14602684, PMID:14525960, PMID:12954721, PMID:12930782, PMID:12925578, PMID:12917292, PMID:12909620, PMID:12835386, PMID:12756168, PMID:12756167, PMID:12743367, PMID:12697902, PMID:12692585, PMID:12668596, PMID:12651883, PMID:12648493, PMID:12642495, PMID:12620980, PMID:12590131, PMID:12538526, PMID:12526814, PMID:12506006, PMID:12496248, 
    PMID:12490561, PMID:12486116, PMID:12460944, PMID:12460896, PMID:12456485, PMID:12454022, PMID:12441303, PMID:12421697, PMID:12411305, PMID:12403709, PMID:12399305, PMID:12386158, PMID:12370315, PMID:12369105, PMID:12226475, PMID:12183379, PMID:12175491, PMID:12163413, PMID:12163404, PMID:12130651, PMID:12130631, PMID:12117813, PMID:12070099, PMID:12050143, PMID:12036964, PMID:12000801, PMID:11978185, PMID:11973273, PMID:11970906, PMID:11925450, 
    PMID:11925446, PMID:11923214, PMID:11884509, PMID:11880638, PMID:11880346, PMID:11880345, PMID:11874914, PMID:11867535, PMID:11830571, PMID:11782403, PMID:11773073, PMID:11739188, PMID:11731454, PMID:11714686, PMID:11714680, PMID:11714676, PMID:11707585, PMID:11700858, PMID:11698403, PMID:11641214, PMID:11566858, PMID:11546743, PMID:11533661, PMID:11532909, PMID:11527959, PMID:11526075, PMID:11524432, PMID:11493544, PMID:11463849, PMID:11435449, 
    PMID:11425897, PMID:11390862, PMID:11390359, PMID:11346656, PMID:11290291, PMID:11283023, PMID:11262225, PMID:11222137, PMID:11180850, PMID:11171395, PMID:11165380, PMID:11067851, PMID:11060239, PMID:11034906, PMID:11031412, PMID:11003842, PMID:10995384, PMID:10959842, PMID:10958687, PMID:10935626, PMID:10929001, PMID:10903180, PMID:10899003, PMID:10878608, PMID:10862754, PMID:10862753, PMID:10862744, PMID:10835358, PMID:10821276, PMID:10790360, 
    PMID:10751180, PMID:10742112, PMID:10734111, PMID:10725246, PMID:10704388, PMID:10704384, PMID:10683181, PMID:10662650, PMID:10662640, PMID:10601009, PMID:10572059, PMID:10572048, PMID:10572045, PMID:10551863, PMID:10529412, PMID:10519550, PMID:10508859, PMID:10508746, PMID:10504334, PMID:10498681, PMID:10449349, PMID:10409762, PMID:10409498, PMID:10357942, PMID:10357895, PMID:10346822, PMID:10323856, PMID:10225957, PMID:10202155, PMID:10101132"
"dx"	"fng"	"7227.FBpp0070876"	"7227.FBpp0077925"	0	0	0	0	0	0	0	0	0	0	0	631	0	631	0	"PMID:23085543, PMID:23060962, PMID:22720165, PMID:22162134, PMID:22111016, PMID:21750738, PMID:20530696, PMID:20231316, PMID:19995916, PMID:19936191, PMID:19779553, PMID:19705151, PMID:19471605, PMID:19139277, PMID:18852286, PMID:18799787, PMID:18688026, PMID:18335037, PMID:18245850, PMID:18213387, PMID:18202376, PMID:18194540, PMID:18158565, PMID:18048645, PMID:17938237, PMID:17605815, PMID:17556669, PMID:17456774, PMID:16973960, PMID:16818743, 
    PMID:16782866, PMID:16542414, PMID:16291593, PMID:15919944, PMID:15531953, PMID:15452147, PMID:14525960, PMID:12370315, PMID:12070099, PMID:11884509, PMID:10862754, PMID:10704384"
"Ube3a"	"fng"	"7227.FBpp0075916"	"7227.FBpp0077925"	0	0	0	0	0	0	0	0	0	0	0	163	0	163	0	"PMID:24675973, PMID:23217079, PMID:18434418, PMID:18245854, PMID:17360774, PMID:15017387, PMID:12070099, PMID:12050143"
"smo"	"fng"	"7227.FBpp0077788"	"7227.FBpp0077925"	0	0	0	0	0	0	0	0	0	0	0	258	0	258	0	"PMID:9654015, PMID:24043949, PMID:23942320, PMID:22593732, PMID:21978399, PMID:21949350, PMID:21098717, PMID:20971825, PMID:20495386, PMID:20332154, PMID:19737745, PMID:18978947, PMID:17699589, PMID:17183721, PMID:16373601, PMID:16049109, PMID:15987436, PMID:14602684, PMID:12954721, PMID:12835386, PMID:12490561, PMID:12403709, PMID:12163413, PMID:11978185, PMID:11880345, PMID:11841536, PMID:11527959, PMID:11390862, PMID:11290291, PMID:11171395, 
    PMID:10572059, PMID:10529412, PMID:10101132"
"N"	"Hdac3"	"7227.FBpp0070483"	"7227.FBpp0078414"	0	0	0	0	0	0	0	0	122	0	333	399	117	647	0	"PMID:24988463, PMID:24965943, PMID:24964731, PMID:24952875, PMID:24710525, PMID:24688641, PMID:24634836, PMID:24618901, PMID:24550918, PMID:24391587, PMID:24381528, PMID:24353314, PMID:24349558, PMID:24334704, PMID:24227653, PMID:24196439, PMID:24088390, PMID:24023824, PMID:23892605, PMID:23828660, PMID:23258705, PMID:23165243, PMID:23105012, PMID:23032367, PMID:23006971, PMID:22927943, PMID:22879948, PMID:22848598, PMID:22577355, PMID:22514554, 
    PMID:22509166, PMID:22508507, PMID:22356765, PMID:22195015, PMID:22125510, PMID:22073312, PMID:22046566, PMID:21798096, PMID:21766020, PMID:21742793, PMID:21518768, PMID:21372032, PMID:21203589, PMID:21124925, PMID:21072209, PMID:21059887, PMID:21049000, PMID:20664079, PMID:20660276, PMID:20452940, PMID:20123979, PMID:20106920, PMID:19939918, PMID:19890091, PMID:19417136, PMID:19367127, PMID:19304754, PMID:19282966, PMID:19221483, PMID:18946026, 
    PMID:18929655, PMID:18667423, PMID:18611917, PMID:18519790, PMID:18511808, PMID:18443042, PMID:18430928, PMID:18411251, PMID:18408079, PMID:18391169, PMID:18039851, PMID:18000403, PMID:17311813, PMID:17283045, PMID:17257418, PMID:17182846, PMID:16943429, PMID:16763555, PMID:16751179, PMID:16740711, PMID:16531564, PMID:16287852, PMID:16262446, PMID:16254190, PMID:15805470, PMID:15775980, PMID:15592452, PMID:15590745, PMID:15159402, PMID:14734556, 
    PMID:14672542, PMID:12920152, PMID:12589049, PMID:12393558, PMID:12372828, PMID:12223465, PMID:12050117, PMID:11865025, PMID:11825869, PMID:11438745, PMID:11427693, PMID:11230145, PMID:10688661"
"pain"	"Hdac3"	"7227.FBpp0072323"	"7227.FBpp0078414"	0	0	0	0	0	0	0	0	122	0	0	0	117	191	0	"NA"
"Ube3a"	"Hdac3"	"7227.FBpp0075916"	"7227.FBpp0078414"	0	0	0	0	0	0	0	0	68	0	496	62	0	520	0	"PMID:24007566, PMID:21527733, PMID:16721406, PMID:15677708, PMID:15356280"
"ebi"	"Hdac3"	"7227.FBpp0077715"	"7227.FBpp0078414"	0	0	0	0	0	0	0	662	771	0	448	819	512	995	0	"PMID:24865773, PMID:24618901, PMID:24007566, PMID:22666340, PMID:22570481, PMID:22567133, PMID:21632771, PMID:21288874, PMID:21049000, PMID:20392877, PMID:20386695, PMID:19939918, PMID:19678741, PMID:19555456, PMID:19223330, PMID:19043594, PMID:18929655, PMID:18430928, PMID:18326939, PMID:18326024, PMID:18309295, PMID:17519354, PMID:17452463, PMID:17283134, PMID:17255935, PMID:17132848, PMID:16980585, PMID:16917504, PMID:16893456, PMID:16763555, 
    PMID:16751179, PMID:16604180, PMID:16525063, PMID:16456091, PMID:16421255, PMID:16258276, PMID:15837729, PMID:15832170, PMID:15805470, PMID:15695367, PMID:15601853, PMID:15491994, PMID:14713265, PMID:14645129, PMID:12795422, PMID:12019171, PMID:11865025, PMID:11784848, PMID:11731482, PMID:11711434, PMID:11459854, PMID:11427696, PMID:11145735, PMID:11113190, PMID:11046157, PMID:10944117"
"N"	"Cry"	"7227.FBpp0070483"	"7227.FBpp0079865"	0	0	0	0	0	0	0	0	0	0	0	167	0	167	0	"PMID:9806930, PMID:8785260, PMID:3308408, PMID:24977024, PMID:24422024, PMID:24282676, PMID:23100274, PMID:2304467, PMID:22724070, PMID:21402580, PMID:21203400, PMID:20959619, PMID:20739468, PMID:19897600, PMID:18795792, PMID:18231636, PMID:18057103, PMID:17709399, PMID:17576749, PMID:17251190, PMID:17234964, PMID:17148603, PMID:17105353, PMID:16798779, PMID:1633115, PMID:16288009, PMID:16237179, PMID:16103063, PMID:16093328, PMID:15995704, 
    PMID:15973436, PMID:15928208, PMID:15743775, PMID:15592446, PMID:15289432, PMID:14617383, PMID:14592939, PMID:12702772, PMID:11902689, PMID:11274346, PMID:10634617, PMID:10585970, PMID:10517672, PMID:10516313"
